Postcode,Datum,Soort
1161,16-07-2023,Poging tot woninginbraak
1161,03-07-2023,Woninginbraak
1165,22-05-2023,Woninginbraak
1171,19-07-2023,Woninginbraak
1171,16-07-2023,Woninginbraak
1171,12-07-2023,Poging tot woninginbraak
1171,09-07-2023,Woninginbraak
1171,05-07-2023,Woninginbraak
1171,18-05-2023,Woninginbraak
1175,09-07-2023,Woninginbraak
1175,22-05-2023,Poging tot woninginbraak
1175,01-05-2023,Woninginbraak
1181,06-07-2023,Poging tot woninginbraak
1181,01-07-2023,Woninginbraak
1181,30-06-2023,Woninginbraak
1181,28-06-2023,Woninginbraak
1181,28-06-2023,Woninginbraak
1181,13-06-2023,Woninginbraak
1181,04-06-2023,Woninginbraak
1181,28-05-2023,Woninginbraak
1181,27-05-2023,Woninginbraak
1181,19-05-2023,Woninginbraak
1181,13-05-2023,Woninginbraak
1181,27-04-2023,Poging tot woninginbraak
1182,16-06-2023,Woninginbraak
1182,30-05-2023,Woninginbraak
1182,27-05-2023,Poging tot woninginbraak
1182,13-05-2023,Woninginbraak
1182,04-05-2023,Woninginbraak
1183,29-06-2023,Poging tot woninginbraak
1183,29-06-2023,Woninginbraak
1183,17-06-2023,Woninginbraak
1183,16-06-2023,Woninginbraak
1183,29-05-2023,Woninginbraak
1183,26-05-2023,Woninginbraak
1183,25-04-2023,Woninginbraak
1184,30-06-2023,Woninginbraak
1185,17-07-2023,Woninginbraak
1185,20-06-2023,Woninginbraak
1185,10-06-2023,Woninginbraak
1185,04-06-2023,Woninginbraak
1185,27-05-2023,Woninginbraak
1185,27-05-2023,Woninginbraak
1185,26-05-2023,Woninginbraak
1185,08-05-2023,Woninginbraak
1185,04-05-2023,Woninginbraak
1185,25-04-2023,Woninginbraak
1185,20-04-2023,Poging tot woninginbraak
1186,09-07-2023,Woninginbraak
1186,02-07-2023,Woninginbraak
1186,23-06-2023,Woninginbraak
1186,10-06-2023,Woninginbraak
1186,24-05-2023,Woninginbraak
1186,21-05-2023,Woninginbraak
1186,06-05-2023,Woninginbraak
1186,02-05-2023,Poging tot woninginbraak
1186,24-04-2023,Woninginbraak
1186,20-04-2023,Poging tot woninginbraak
1186,20-04-2023,Woninginbraak
1186,20-04-2023,Woninginbraak
1187,19-07-2023,Woninginbraak
1187,13-07-2023,Woninginbraak
1187,03-07-2023,Poging tot woninginbraak
1187,01-07-2023,Poging tot woninginbraak
1187,23-06-2023,Woninginbraak
1187,21-06-2023,Woninginbraak
1187,09-06-2023,Woninginbraak
1187,05-06-2023,Woninginbraak
1187,31-05-2023,Woninginbraak
1187,16-05-2023,Woninginbraak
1187,12-05-2023,Woninginbraak
1187,08-05-2023,Woninginbraak
1187,07-05-2023,Woninginbraak
1187,06-05-2023,Woninginbraak
1187,04-05-2023,Poging tot woninginbraak
1188,22-06-2023,Woninginbraak
1188,15-06-2023,Woninginbraak
1191,25-04-2023,Woninginbraak
1211,15-07-2023,Woninginbraak
1211,07-06-2023,Woninginbraak
1211,23-05-2023,Woninginbraak
1211,18-05-2023,Woninginbraak
1213,28-06-2023,Poging tot woninginbraak
1213,28-04-2023,Woninginbraak
1213,27-04-2023,Woninginbraak
1214,25-05-2023,Woninginbraak
1214,27-04-2023,Poging tot woninginbraak
1215,15-07-2023,Woninginbraak
1215,15-06-2023,Woninginbraak
1216,10-06-2023,Poging tot woninginbraak
1217,09-07-2023,Poging tot woninginbraak
1217,10-06-2023,Woninginbraak
1217,13-05-2023,Woninginbraak
1217,07-05-2023,Woninginbraak
1221,21-06-2023,Woninginbraak
1222,11-06-2023,Woninginbraak
1222,15-05-2023,Woninginbraak
1222,25-04-2023,Poging tot woninginbraak
1223,19-05-2023,Poging tot woninginbraak
1231,18-07-2023,Woninginbraak
1231,21-06-2023,Woninginbraak
1231,07-06-2023,Poging tot woninginbraak
1231,29-05-2023,Poging tot woninginbraak
1231,08-05-2023,Woninginbraak
1241,05-07-2023,Woninginbraak
1251,07-06-2023,Woninginbraak
1251,06-06-2023,Woninginbraak
1251,03-06-2023,Poging tot woninginbraak
1251,03-06-2023,Woninginbraak
1261,25-06-2023,Woninginbraak
1261,20-06-2023,Woninginbraak
1261,02-06-2023,Woninginbraak
1261,09-05-2023,Woninginbraak
1261,03-05-2023,Woninginbraak
1271,07-06-2023,Woninginbraak
1271,22-05-2023,Woninginbraak
1271,15-05-2023,Woninginbraak
1271,03-05-2023,Poging tot woninginbraak
1272,14-07-2023,Poging tot woninginbraak
1272,14-07-2023,Poging tot woninginbraak
1272,07-06-2023,Woninginbraak
1273,29-05-2023,Woninginbraak
1273,17-05-2023,Woninginbraak
1276,10-07-2023,Woninginbraak
1276,24-05-2023,Woninginbraak
1312,01-07-2023,Woninginbraak
1313,27-05-2023,Poging tot woninginbraak
1315,03-07-2023,Woninginbraak
1315,10-06-2023,Woninginbraak
1317,19-06-2023,Poging tot woninginbraak
1318,19-05-2023,Woninginbraak
1321,13-07-2023,Woninginbraak
1321,03-07-2023,Woninginbraak
1321,22-04-2023,Woninginbraak
1321,21-04-2023,Woninginbraak
1323,11-07-2023,Poging tot woninginbraak
1324,26-06-2023,Woninginbraak
1324,19-06-2023,Poging tot woninginbraak
1324,11-06-2023,Woninginbraak
1325,03-06-2023,Poging tot woninginbraak
1326,24-05-2023,Woninginbraak
1328,09-06-2023,Woninginbraak
1333,18-07-2023,Woninginbraak
1333,17-07-2023,Woninginbraak
1333,25-05-2023,Poging tot woninginbraak
1333,16-05-2023,Woninginbraak
1333,22-04-2023,Woninginbraak
1335,19-06-2023,Woninginbraak
1335,03-06-2023,Woninginbraak
1335,12-05-2023,Woninginbraak
1335,09-05-2023,Poging tot woninginbraak
